name,owner,language,stargazers_count,forks_count,html_url,open_issues_count,watchers_count,created_at,updated_at,license,homepage
stanford_alpaca,tatsu-lab,Python,30050,4048,https://github.com/tatsu-lab/stanford_alpaca,188,30050,2023-03-10T23:33:09Z,2025-07-01T08:09:24Z,Apache License 2.0,https://crfm.stanford.edu/2023/03/13/alpaca.html
tqdm,tqdm,Python,30037,1390,https://github.com/tqdm/tqdm,562,30037,2015-06-03T13:13:14Z,2025-07-01T07:10:36Z,Other,https://tqdm.github.io
filebrowser,filebrowser,Go,30026,3362,https://github.com/filebrowser/filebrowser,42,30026,2015-09-11T21:21:58Z,2025-07-01T07:39:29Z,Apache License 2.0,https://filebrowser.org
rocksdb,facebook,C++,29998,6542,https://github.com/facebook/rocksdb,1219,29998,2012-11-30T06:16:18Z,2025-07-01T06:59:02Z,GNU General Public License v2.0,http://rocksdb.org
AI-Expert-Roadmap,AMAI-GmbH,JavaScript,29997,2529,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,22,29997,2020-10-24T21:49:40Z,2025-07-01T08:02:58Z,MIT License,https://i.am.ai/roadmap
UTM,utmapp,Swift,29996,1477,https://github.com/utmapp/UTM,954,29996,2019-04-12T16:09:24Z,2025-07-01T07:33:04Z,Apache License 2.0,https://getutm.app
server,nextcloud,PHP,29985,4318,https://github.com/nextcloud/server,2658,29985,2016-06-02T07:44:14Z,2025-07-01T08:01:58Z,GNU Affero General Public License v3.0,https://nextcloud.com
roop,s0md3v,Python,29981,6802,https://github.com/s0md3v/roop,10,29981,2023-05-28T14:37:54Z,2025-07-01T08:12:05Z,GNU General Public License v3.0,
uppy,transloadit,TypeScript,29925,2068,https://github.com/transloadit/uppy,167,29925,2015-11-16T12:32:33Z,2025-07-01T07:49:49Z,MIT License,https://uppy.io
hutool,chinabugotech,Java,29915,7640,https://github.com/chinabugotech/hutool,2,29915,2014-04-13T07:23:51Z,2025-07-01T02:39:59Z,Other,https://hutool.cn
OpenAPI-Specification,OAI,Markdown,29911,9132,https://github.com/OAI/OpenAPI-Specification,184,29911,2014-03-03T16:53:36Z,2025-07-01T08:07:17Z,Apache License 2.0,https://openapis.org
alpine,alpinejs,HTML,29905,1296,https://github.com/alpinejs/alpine,40,29905,2019-11-28T13:51:55Z,2025-06-30T15:57:06Z,MIT License,https://alpinejs.dev
docsify,docsifyjs,JavaScript,29851,5781,https://github.com/docsifyjs/docsify,183,29851,2016-11-20T07:55:43Z,2025-07-01T08:10:26Z,MIT License,https://docsify.js.org
Data-Science-For-Beginners,microsoft,Jupyter Notebook,29837,6231,https://github.com/microsoft/Data-Science-For-Beginners,54,29837,2021-03-03T16:30:15Z,2025-07-01T05:43:45Z,MIT License,https://microsoft.github.io/Data-Science-For-Beginners/
CheatSheetSeries,OWASP,Python,29820,4176,https://github.com/OWASP/CheatSheetSeries,49,29820,2018-12-21T14:26:43Z,2025-07-01T05:43:59Z,Creative Commons Attribution Share Alike 4.0 International,https://cheatsheetseries.owasp.org
lux,iawia002,Go,29793,3160,https://github.com/iawia002/lux,526,29793,2018-02-24T11:29:03Z,2025-07-01T03:50:27Z,MIT License,
numpy,numpy,Python,29793,11031,https://github.com/numpy/numpy,2313,29793,2010-09-13T23:02:39Z,2025-07-01T04:38:53Z,Other,https://numpy.org
foundation-sites,foundation,HTML,29756,5456,https://github.com/foundation/foundation-sites,67,29756,2011-10-13T23:05:42Z,2025-06-30T20:30:10Z,MIT License,https://get.foundation
particles.js,VincentGarreau,JavaScript,29753,4849,https://github.com/VincentGarreau/particles.js,364,29753,2014-09-06T14:29:47Z,2025-07-01T02:51:39Z,MIT License,https://vincentgarreau.com/particles.js/
leakcanary,square,Kotlin,29742,3982,https://github.com/square/leakcanary,132,29742,2015-04-29T23:54:16Z,2025-07-01T08:03:07Z,Apache License 2.0,https://square.github.io/leakcanary
vue-cli,vuejs,JavaScript,29730,6332,https://github.com/vuejs/vue-cli,1069,29730,2015-12-26T23:11:20Z,2025-07-01T06:16:08Z,MIT License,https://cli.vuejs.org/
pytorch-lightning,Lightning-AI,Python,29698,3525,https://github.com/Lightning-AI/pytorch-lightning,1024,29698,2019-03-31T00:45:57Z,2025-07-01T02:58:10Z,Apache License 2.0,https://lightning.ai/pytorch-lightning
medusa,medusajs,TypeScript,29693,3445,https://github.com/medusajs/medusa,130,29693,2020-01-18T13:39:04Z,2025-07-01T07:37:46Z,MIT License,https://medusajs.com
anoma,anoma,Elixir,29672,3862,https://github.com/anoma/anoma,177,29672,2021-02-02T10:00:16Z,2025-07-01T08:02:20Z,MIT License,https://anoma.net
ink,vadimdemedes,TypeScript,29647,683,https://github.com/vadimdemedes/ink,83,29647,2017-06-12T06:12:28Z,2025-07-01T08:11:15Z,MIT License,https://term.ink
awesome-sysadmin,awesome-foss,,29646,1730,https://github.com/awesome-foss/awesome-sysadmin,41,29646,2014-12-23T08:41:22Z,2025-07-01T06:01:11Z,Other,
Xray-core,XTLS,Go,29643,4392,https://github.com/XTLS/Xray-core,31,29643,2020-11-09T11:23:10Z,2025-07-01T08:13:49Z,Mozilla Public License 2.0,https://t.me/projectXray
CLIP,openai,Jupyter Notebook,29618,3652,https://github.com/openai/CLIP,253,29618,2020-12-16T11:24:42Z,2025-07-01T08:15:18Z,MIT License,
awesome-macos-command-line,herrbischoff,,29612,1440,https://github.com/herrbischoff/awesome-macos-command-line,0,29612,2015-09-22T19:37:55Z,2025-07-01T06:32:48Z,,
OCRmyPDF,ocrmypdf,Python,29605,2032,https://github.com/ocrmypdf/OCRmyPDF,135,29605,2013-12-20T08:26:28Z,2025-07-01T07:19:34Z,Mozilla Public License 2.0,http://ocrmypdf.readthedocs.io/
diffusers,huggingface,Python,29584,6074,https://github.com/huggingface/diffusers,720,29584,2022-05-30T16:04:02Z,2025-07-01T07:54:35Z,Apache License 2.0,https://huggingface.co/docs/diffusers
cheerio,cheeriojs,TypeScript,29577,1671,https://github.com/cheeriojs/cheerio,30,29577,2011-10-09T04:23:20Z,2025-07-01T07:31:21Z,MIT License,https://cheerio.js.org
Mr.-Ranedeer-AI-Tutor,JushBJJ,,29574,3387,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,13,29574,2023-03-31T12:37:26Z,2025-07-01T07:25:56Z,,https://Mr-Ranedeer.com
awesome-python-cn,jobbole,Makefile,29569,7969,https://github.com/jobbole/awesome-python-cn,23,29569,2015-11-03T09:50:50Z,2025-06-30T20:30:09Z,Other,http://jobbole.github.io/awesome-python-cn/
project-guidelines,elsewhencode,JavaScript,29567,3212,https://github.com/elsewhencode/project-guidelines,15,29567,2017-06-30T10:17:55Z,2025-06-30T22:24:26Z,MIT License,
apollo,apolloconfig,Java,29558,10227,https://github.com/apolloconfig/apollo,140,29558,2016-03-04T10:24:23Z,2025-07-01T03:53:21Z,Apache License 2.0,https://www.apolloconfig.com
surrealdb,surrealdb,Rust,29555,1007,https://github.com/surrealdb/surrealdb,740,29555,2021-12-09T15:03:29Z,2025-07-01T05:41:34Z,Other,https://surrealdb.com
awesome-cursorrules,PatrickJS,MDX,29553,2412,https://github.com/PatrickJS/awesome-cursorrules,39,29553,2024-09-16T15:38:38Z,2025-07-01T08:15:40Z,Creative Commons Zero v1.0 Universal,https://github.com/PatrickJS/awesome-cursorrules
react-boilerplate,react-boilerplate,JavaScript,29539,6098,https://github.com/react-boilerplate/react-boilerplate,130,29539,2015-02-18T14:36:32Z,2025-07-01T07:29:21Z,MIT License,https://www.reactboilerplate.com
folly,facebook,C++,29519,5712,https://github.com/facebook/folly,386,29519,2012-06-01T20:49:04Z,2025-07-01T02:43:46Z,Apache License 2.0,
tinygrad,tinygrad,Python,29512,3489,https://github.com/tinygrad/tinygrad,227,29512,2020-10-18T16:23:12Z,2025-07-01T07:22:09Z,MIT License,
algo,trailofbits,Jinja,29511,2347,https://github.com/trailofbits/algo,193,29511,2016-05-15T03:42:48Z,2025-07-01T03:37:04Z,GNU Affero General Public License v3.0,https://blog.trailofbits.com/2016/12/12/meet-algo-the-vpn-that-works/
phantomjs,ariya,C++,29498,5746,https://github.com/ariya/phantomjs,14,29498,2010-12-27T08:18:58Z,2025-06-30T21:18:02Z,"BSD 3-Clause ""New"" or ""Revised"" License",http://phantomjs.org
500lines,aosabook,JavaScript,29481,5871,https://github.com/aosabook/500lines,58,29481,2013-11-04T02:02:53Z,2025-07-01T06:09:54Z,Other,
headscale,juanfont,Go,29457,1585,https://github.com/juanfont/headscale,118,29457,2020-06-21T09:21:05Z,2025-07-01T07:48:44Z,"BSD 3-Clause ""New"" or ""Revised"" License",
textual,Textualize,Python,29422,917,https://github.com/Textualize/textual,224,29422,2021-04-08T15:24:47Z,2025-07-01T05:12:21Z,MIT License,https://textual.textualize.io/
1Panel,1Panel-dev,Go,29393,2559,https://github.com/1Panel-dev/1Panel,617,29393,2022-07-19T15:44:52Z,2025-07-01T07:49:36Z,GNU General Public License v3.0,https://1panel.pro
Hover,IanLunn,SCSS,29356,5743,https://github.com/IanLunn/Hover,42,29356,2014-01-02T14:27:35Z,2025-07-01T06:35:06Z,Other,http://ianlunn.github.io/Hover/
standard,standard,JavaScript,29326,2321,https://github.com/standard/standard,128,29326,2015-01-27T01:23:31Z,2025-07-01T06:09:55Z,MIT License,https://standardjs.com
hey,heyverse,TypeScript,29284,1753,https://github.com/heyverse/hey,3,29284,2022-03-19T15:01:46Z,2025-07-01T06:06:20Z,GNU Affero General Public License v3.0,https://hey.xyz
DevToys,DevToys-app,C#,29270,1582,https://github.com/DevToys-app/DevToys,267,29270,2021-09-29T01:40:41Z,2025-07-01T06:26:37Z,MIT License,https://devtoys.app/
django-rest-framework,encode,Python,29256,6977,https://github.com/encode/django-rest-framework,101,29256,2011-03-02T17:13:56Z,2025-07-01T01:12:17Z,Other,https://www.django-rest-framework.org
cherry-studio,CherryHQ,TypeScript,29236,2544,https://github.com/CherryHQ/cherry-studio,800,29236,2024-05-24T01:56:26Z,2025-07-01T08:12:00Z,Other,https://cherry-ai.com
gkd,gkd-kit,Kotlin,29215,1435,https://github.com/gkd-kit/gkd,11,29215,2023-07-04T03:59:15Z,2025-07-01T07:33:27Z,GNU General Public License v3.0,https://gkd.li
es6features,lukehoban,,29212,2846,https://github.com/lukehoban/es6features,39,29212,2014-03-03T18:29:30Z,2025-06-30T17:43:10Z,MIT License,
stb,nothings,C,29210,7844,https://github.com/nothings/stb,340,29210,2014-05-25T16:51:23Z,2025-07-01T07:16:36Z,Other,https://twitter.com/nothings
css-protips,AllThingsSmitty,,29191,2204,https://github.com/AllThingsSmitty/css-protips,6,29191,2015-08-29T12:29:03Z,2025-07-01T05:28:21Z,Creative Commons Zero v1.0 Universal,
canal,alibaba,Java,29187,7662,https://github.com/alibaba/canal,1212,29187,2013-01-13T10:59:52Z,2025-07-01T05:06:52Z,Apache License 2.0,
restic,restic,Go,29161,1615,https://github.com/restic/restic,470,29161,2014-04-27T14:07:58Z,2025-07-01T05:18:44Z,"BSD 2-Clause ""Simplified"" License",https://restic.net
react-three-fiber,pmndrs,TypeScript,29145,1700,https://github.com/pmndrs/react-three-fiber,95,29145,2019-02-25T14:31:51Z,2025-07-01T07:28:28Z,MIT License,https://docs.pmnd.rs/react-three-fiber
dioxus,DioxusLabs,Rust,29140,1194,https://github.com/DioxusLabs/dioxus,399,29140,2021-01-15T01:57:26Z,2025-07-01T08:04:36Z,Apache License 2.0,https://dioxuslabs.com
Trilium,TriliumNext,TypeScript,29128,1955,https://github.com/TriliumNext/Trilium,1275,29128,2017-05-23T00:30:20Z,2025-07-01T08:15:09Z,GNU Affero General Public License v3.0,
lighthouse,GoogleChrome,JavaScript,29125,9524,https://github.com/GoogleChrome/lighthouse,488,29125,2016-03-08T01:03:11Z,2025-06-30T20:27:35Z,Apache License 2.0,https://developer.chrome.com/docs/lighthouse/overview/
agno,agno-agi,Python,29084,3703,https://github.com/agno-agi/agno,147,29084,2022-05-04T15:23:02Z,2025-07-01T08:06:56Z,Mozilla Public License 2.0,https://docs.agno.com
glances,nicolargo,Python,29080,1597,https://github.com/nicolargo/glances,191,29080,2011-12-04T08:49:15Z,2025-07-01T07:15:25Z,Other,http://nicolargo.github.io/glances/
consul,hashicorp,Go,29079,4487,https://github.com/hashicorp/consul,1309,29079,2013-11-04T22:15:27Z,2025-07-01T03:21:10Z,Other,https://www.consul.io
COVID-19,CSSEGISandData,,29069,18285,https://github.com/CSSEGISandData/COVID-19,1961,29069,2020-02-04T22:03:53Z,2025-06-30T09:55:13Z,,https://systems.jhu.edu/research/public-health/ncov/
mantine,mantinedev,TypeScript,29062,2079,https://github.com/mantinedev/mantine,34,29062,2021-01-07T14:02:19Z,2025-07-01T08:09:22Z,MIT License,https://mantine.dev
swift-algorithm-club,kodecocodes,Swift,29058,5005,https://github.com/kodecocodes/swift-algorithm-club,62,29058,2016-01-26T17:56:12Z,2025-07-01T06:45:26Z,MIT License,
WSL,microsoft,C++,29042,1410,https://github.com/microsoft/WSL,1050,29042,2016-04-06T17:32:56Z,2025-07-01T07:15:24Z,MIT License,https://wsl.dev/
motion,motiondivision,TypeScript,29041,976,https://github.com/motiondivision/motion,294,29041,2018-11-16T09:48:38Z,2025-07-01T08:03:58Z,MIT License,https://motion.dev
composer,composer,PHP,29024,4656,https://github.com/composer/composer,151,29024,2011-06-08T08:53:00Z,2025-07-01T01:00:46Z,MIT License,https://getcomposer.org/
python-guide,realpython,Batchfile,29004,5878,https://github.com/realpython/python-guide,124,29004,2011-03-15T03:24:20Z,2025-07-01T03:26:01Z,Other,https://docs.python-guide.org
drizzle-orm,drizzle-team,TypeScript,28992,917,https://github.com/drizzle-team/drizzle-orm,1595,28992,2021-06-24T09:03:05Z,2025-07-01T07:41:13Z,Apache License 2.0,https://orm.drizzle.team
AdGuardHome,AdguardTeam,Go,28977,2059,https://github.com/AdguardTeam/AdGuardHome,1149,28977,2016-07-06T10:31:47Z,2025-07-01T08:04:02Z,GNU General Public License v3.0,https://adguard.com/adguard-home/overview.html
Clone-Wars,GorvGoyl,,28966,2585,https://github.com/GorvGoyl/Clone-Wars,23,28966,2020-12-02T11:10:16Z,2025-07-01T03:25:43Z,GNU Affero General Public License v3.0,https://gourav.io/clone-wars
xxl-job,xuxueli,Java,28960,11219,https://github.com/xuxueli/xxl-job,672,28960,2015-11-28T12:59:34Z,2025-07-01T07:34:14Z,GNU General Public License v3.0,http://www.xuxueli.com/xxl-job/
handson-ml2,ageron,Jupyter Notebook,28959,13080,https://github.com/ageron/handson-ml2,228,28959,2019-01-08T03:49:07Z,2025-07-01T07:55:28Z,Apache License 2.0,
tokio,tokio-rs,Rust,28958,2675,https://github.com/tokio-rs/tokio,387,28958,2016-09-09T22:31:36Z,2025-07-01T08:00:03Z,MIT License,https://tokio.rs
DeepFaceLive,iperov,Python,28904,651,https://github.com/iperov/DeepFaceLive,1,28904,2020-12-15T12:19:22Z,2025-07-01T08:11:57Z,GNU General Public License v3.0,
vue-vben-admin,vbenjs,Vue,28880,7828,https://github.com/vbenjs/vue-vben-admin,127,28880,2020-07-11T02:29:21Z,2025-07-01T08:02:12Z,MIT License,https://www.vben.pro
tuning_playbook,google-research,,28867,2371,https://github.com/google-research/tuning_playbook,12,28867,2023-01-18T23:32:32Z,2025-07-01T04:12:26Z,Other,
SpringAll,wuyouzhuguli,Java,28857,8171,https://github.com/wuyouzhuguli/SpringAll,34,28857,2018-05-02T02:48:44Z,2025-07-01T06:57:35Z,MIT License,
plyr,sampotts,JavaScript,28833,3081,https://github.com/sampotts/plyr,917,28833,2015-02-14T11:33:07Z,2025-07-01T05:36:07Z,MIT License,https://plyr.io
wails,wailsapp,Go,28831,1401,https://github.com/wailsapp/wails,290,28831,2018-12-15T23:14:06Z,2025-07-01T07:54:57Z,MIT License,https://wails.io
paperless-ngx,paperless-ngx,Python,28824,1701,https://github.com/paperless-ngx/paperless-ngx,7,28824,2022-02-12T21:56:52Z,2025-07-01T07:44:30Z,GNU General Public License v3.0,http://docs.paperless-ngx.com/
llama3,meta-llama,Python,28801,3403,https://github.com/meta-llama/llama3,212,28801,2024-03-15T17:57:00Z,2025-07-01T02:29:56Z,Other,
postcss,postcss,TypeScript,28800,1579,https://github.com/postcss/postcss,27,28800,2013-09-24T23:06:48Z,2025-07-01T06:24:07Z,MIT License,https://postcss.org
todomvc,tastejs,JavaScript,28795,13746,https://github.com/tastejs/todomvc,169,28795,2011-06-03T19:56:33Z,2025-06-30T21:51:27Z,Other,http://todomvc.com
viper,spf13,Go,28780,2057,https://github.com/spf13/viper,517,28780,2014-04-02T14:33:33Z,2025-07-01T03:42:48Z,MIT License,
exo,exo-explore,Python,28774,1826,https://github.com/exo-explore/exo,418,28774,2024-06-24T18:36:22Z,2025-07-01T08:04:03Z,GNU General Public License v3.0,
react-spring,pmndrs,TypeScript,28755,1207,https://github.com/pmndrs/react-spring,125,28755,2018-03-07T15:39:32Z,2025-06-30T20:30:11Z,MIT License,http://www.react-spring.dev/
slick,kenwheeler,JavaScript,28639,5859,https://github.com/kenwheeler/slick,1389,28639,2014-03-24T02:10:05Z,2025-06-30T20:29:35Z,MIT License,kenwheeler.github.io/slick
linkedin-skill-assessments-quizzes,Ebazhanov,,28635,13179,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes,85,28635,2019-07-13T19:52:56Z,2025-07-01T05:39:08Z,GNU Affero General Public License v3.0,https://ebazhanov.github.io/linkedin-skill-assessments-quizzes/
refined-github,refined-github,TypeScript,28617,1580,https://github.com/refined-github/refined-github,136,28617,2016-02-15T16:45:02Z,2025-07-01T07:35:31Z,MIT License,
TrackersListCollection,XIU2,,28601,1692,https://github.com/XIU2/TrackersListCollection,1,28601,2019-10-03T15:55:07Z,2025-07-01T08:11:29Z,GNU General Public License v3.0,https://trackerslist.com
Complete-Python-3-Bootcamp,Pierian-Data,Jupyter Notebook,28580,86883,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,250,28580,2018-02-12T19:30:10Z,2025-07-01T00:03:54Z,,
spring-cloud-alibaba,alibaba,Java,28560,8440,https://github.com/alibaba/spring-cloud-alibaba,257,28560,2017-12-01T20:49:15Z,2025-07-01T03:27:13Z,Apache License 2.0,https://sca.aliyun.com
pathway,pathwaycom,Python,28554,628,https://github.com/pathwaycom/pathway,45,28554,2022-11-27T13:01:14Z,2025-07-01T07:57:25Z,Other,https://pathway.com
JavaScript30,wesbos,HTML,28534,39736,https://github.com/wesbos/JavaScript30,61,28534,2016-12-07T19:15:31Z,2025-07-01T05:20:33Z,,https://JavaScript30.com
machine-learning-for-software-engineers,ZuzooVn,,28509,6218,https://github.com/ZuzooVn/machine-learning-for-software-engineers,30,28509,2016-10-09T21:20:25Z,2025-06-30T20:30:22Z,Creative Commons Attribution Share Alike 4.0 International,https://www.codementor.io/zuzoovn/how-i-plan-to-become-a-machine-learning-engineer-a4metbcuk
os-tutorial,cfenollosa,C,28471,3412,https://github.com/cfenollosa/os-tutorial,123,28471,2014-09-29T08:39:34Z,2025-07-01T06:50:38Z,"BSD 3-Clause ""New"" or ""Revised"" License",
immer,immerjs,JavaScript,28450,859,https://github.com/immerjs/immer,55,28450,2017-12-29T12:25:47Z,2025-07-01T06:44:26Z,MIT License,https://immerjs.github.io/immer/
vuex,vuejs,JavaScript,28448,9561,https://github.com/vuejs/vuex,144,28448,2015-07-16T04:21:26Z,2025-07-01T03:39:30Z,MIT License,https://vuex.vuejs.org
programmer-job-blacklist,shengxinjing,Shell,28443,1801,https://github.com/shengxinjing/programmer-job-blacklist,171,28443,2016-06-25T06:09:10Z,2025-07-01T08:15:34Z,MIT License,http://coder.shengxinjing.cn/
ai-agents-for-beginners,microsoft,Jupyter Notebook,28441,7949,https://github.com/microsoft/ai-agents-for-beginners,11,28441,2024-11-28T10:42:52Z,2025-07-01T08:15:56Z,MIT License,https://microsoft.github.io/ai-agents-for-beginners/
dragonfly,dragonflydb,C++,28417,1056,https://github.com/dragonflydb/dragonfly,245,28417,2021-12-11T10:00:42Z,2025-07-01T07:30:02Z,Other,https://www.dragonflydb.io/
xstate,statelyai,TypeScript,28407,1314,https://github.com/statelyai/xstate,155,28407,2015-09-14T15:04:15Z,2025-07-01T03:22:38Z,MIT License,https://stately.ai/docs
firecracker,firecracker-microvm,Rust,28397,1968,https://github.com/firecracker-microvm/firecracker,84,28397,2017-10-19T06:18:47Z,2025-07-01T03:27:23Z,Apache License 2.0,http://firecracker-microvm.io
Jobs_Applier_AI_Agent_AIHawk,feder-cr,Python,28380,4278,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,11,28380,2024-08-04T12:15:06Z,2025-07-01T06:32:01Z,GNU Affero General Public License v3.0,https://laboro.co/
android_guides,codepath,,28379,6314,https://github.com/codepath/android_guides,163,28379,2013-06-19T10:24:45Z,2025-06-30T20:30:21Z,MIT License,guides.codepath.com
hosts,StevenBlack,Python,28374,2324,https://github.com/StevenBlack/hosts,107,28374,2012-04-12T20:22:50Z,2025-07-01T07:04:15Z,MIT License,
